resume_id,jd_id,semantic_similarity,required_skill_overlap,preferred_skill_overlap,skills_count,candidate_exp_years,required_exp_years,experience_delta,hard_constraint_met,degree_requirement_met,target_match
res_01,jd_01_ml_engineer,0.1288,1.0,0.4,9,4,3,1,1.0,1.0,1
res_02,jd_01_ml_engineer,0.1047,1.0,0.4,8,4,3,1,1.0,1.0,1
res_03,jd_01_ml_engineer,0.1288,0.5,0.0,3,1,3,-2,0.0,1.0,0
res_04,jd_01_ml_engineer,0.0514,0.1667,0.4,9,6,3,3,1.0,1.0,0
res_05,jd_01_ml_engineer,0.0653,0.1667,0.0,7,7,3,4,1.0,1.0,0
res_06,jd_01_ml_engineer,0.0222,0.3333,0.0,8,3,3,0,1.0,1.0,0
res_07,jd_01_ml_engineer,0.0439,0.3333,0.0,7,2,3,-1,0.0,1.0,0
res_08,jd_01_ml_engineer,0.024,0.3333,0.0,9,4,3,1,1.0,1.0,0
res_09,jd_01_ml_engineer,0.0222,0.3333,0.2,8,5,3,2,1.0,1.0,0
res_10,jd_01_ml_engineer,0.0795,0.3333,0.2,8,4,3,1,1.0,1.0,0
res_11,jd_01_ml_engineer,0.0365,0.3333,0.4,8,4,3,1,1.0,1.0,0
res_12,jd_01_ml_engineer,0.0114,0.6667,0.2,9,6,3,3,1.0,1.0,0
res_13,jd_01_ml_engineer,0.0795,0.6667,0.2,8,6,3,3,1.0,1.0,0
res_14,jd_01_ml_engineer,0.0,0.0,0.0,7,3,3,0,1.0,1.0,0
res_15,jd_01_ml_engineer,0.0118,0.1667,0.0,7,5,3,2,1.0,1.0,0
res_16,jd_01_ml_engineer,0.0517,0.1667,0.0,7,5,3,2,1.0,1.0,0
res_17,jd_01_ml_engineer,0.0514,0.3333,0.0,4,1,3,-2,0.0,1.0,0
res_18,jd_01_ml_engineer,0.1278,1.0,0.2,7,4,3,1,1.0,1.0,1
res_19,jd_01_ml_engineer,0.0401,0.3333,0.0,6,3,3,0,1.0,1.0,0
res_20,jd_01_ml_engineer,0.1155,1.0,0.2,7,3,3,0,1.0,1.0,1
res_21,jd_01_ml_engineer,0.0231,0.3333,0.0,7,4,3,1,1.0,1.0,0
res_22,jd_01_ml_engineer,0.0514,0.1667,0.0,7,3,3,0,1.0,1.0,0
res_23,jd_01_ml_engineer,0.0598,0.3333,0.2,7,4,3,1,1.0,1.0,0
res_24,jd_01_ml_engineer,0.0263,0.3333,0.4,7,5,3,2,1.0,1.0,0
res_25,jd_01_ml_engineer,0.0365,0.6667,0.2,8,5,3,2,1.0,1.0,0
res_26,jd_01_ml_engineer,0.013,0.0,0.0,5,4,3,1,1.0,1.0,0
res_27,jd_01_ml_engineer,0.0251,0.0,0.0,5,2,3,-1,0.0,1.0,0
res_28,jd_01_ml_engineer,0.0118,0.3333,0.0,6,5,3,2,1.0,1.0,0
res_29,jd_01_ml_engineer,0.0382,0.1667,0.2,7,5,3,2,1.0,1.0,0
res_30,jd_01_ml_engineer,0.0993,1.0,0.0,6,3,3,0,1.0,1.0,1
res_01,jd_02_backend_lead,0.0119,0.1667,0.0,9,4,5,-1,0.0,1.0,0
res_02,jd_02_backend_lead,0.0124,0.1667,0.2,8,4,5,-1,0.0,1.0,0
res_03,jd_02_backend_lead,0.0627,0.1667,0.0,3,1,5,-4,0.0,1.0,0
res_04,jd_02_backend_lead,0.2029,1.0,0.6,9,6,5,1,1.0,1.0,1
res_05,jd_02_backend_lead,0.0835,1.0,0.2,7,7,5,2,1.0,1.0,1
res_06,jd_02_backend_lead,0.0115,0.1667,0.0,8,3,5,-2,0.0,1.0,0
res_07,jd_02_backend_lead,0.0705,0.1667,0.0,7,2,5,-3,0.0,1.0,0
res_08,jd_02_backend_lead,0.0654,0.3333,0.0,9,4,5,-1,0.0,1.0,0
res_09,jd_02_backend_lead,0.0115,0.1667,0.0,8,5,5,0,1.0,1.0,0
res_10,jd_02_backend_lead,0.0682,0.1667,0.0,8,4,5,-1,0.0,1.0,0
res_11,jd_02_backend_lead,0.0515,0.1667,0.4,8,4,5,-1,0.0,1.0,0
res_12,jd_02_backend_lead,0.0241,0.1667,0.0,9,6,5,1,1.0,1.0,0
res_13,jd_02_backend_lead,0.0537,0.1667,0.0,8,6,5,1,1.0,1.0,0
res_14,jd_02_backend_lead,0.0124,0.0,0.0,7,3,5,-2,0.0,1.0,0
res_15,jd_02_backend_lead,0.0381,0.1667,0.0,7,5,5,0,1.0,1.0,0
res_16,jd_02_backend_lead,0.0262,0.1667,0.0,7,5,5,0,1.0,1.0,0
res_17,jd_02_backend_lead,0.0397,0.1667,0.0,4,1,5,-4,0.0,1.0,0
res_18,jd_02_backend_lead,0.0625,0.1667,0.2,7,4,5,-1,0.0,1.0,0
res_19,jd_02_backend_lead,0.1216,0.8333,0.0,6,3,5,-2,0.0,1.0,0
res_20,jd_02_backend_lead,0.0274,0.1667,0.0,7,3,5,-2,0.0,1.0,0
res_21,jd_02_backend_lead,0.0119,0.1667,0.0,7,4,5,-1,0.0,1.0,0
